"id","nom","nom_normalise","producteur_id","ingredients","ingredients_courts","description","description_courte","categorie_id","sous_categorie_id","conservation","date_creation","biologique","arachides","oeufs","gluten","lactose","photo_id","actif","is_noel","is_cru","is_naturel","is_source_de_confiance_vd","is_vegan","is_format_familial","jour_limite","heure_limite","is_commande_speciale","default_unite_mesure_entree_rapide","default_prix_par_unite_mesure_entree_rapide","code_pour_sku","prochain_code_format_pour_sku","date_desactivation","is_balade_gourmande"
219026,Foie gras d'autruche,Foie_gras_dautruche,167004,foie gras d'autruche ,,"Attention, ceci est un foie gras tranché, comme le foie ordinaire pour en faire comme un steak, et non une préparation de foie gras. Toutefois il peut être utilisé comme un steak ou vous en faire une recette de foie gras a votre goût.","Attention, ceci est un foie gras tranché, comme le foie ordinaire pour  [...]",101153,219025,congelo,"2013-02-11 14:03:30",0,1,1,0,0,185011,0,0,0,0,0,0,0,3,7,0,,,17,2,,0
219028,Autruche hachée,Autruche_hachee,167004,autruche,,"Lorsqu'elle est mangée en boulettes, si possible la garder quelque peu rosée pour avoir un maximum de saveur. Elle n'a pas besoin d'être bien cuite comme certaines autres viandes. N'ayez aucune crainte pour les bactéries et autres...","Lorsqu'elle est mangée en boulettes, si possible la garder quelque peu  [...]",101153,219025,congelo,"2015-09-14 16:52:30",0,1,1,1,1,166014,0,0,0,0,0,0,0,3,7,0,,,18,2,,0
219031,Cubes bourguignon,Cubes_bourguignon,167004,autruche,,Ce sont des cubes à mijoter. (idéals pour la mijoteuse),,101153,219025,congelo,"2012-03-03 19:58:41",0,1,1,1,1,180009,0,0,0,0,0,0,0,3,7,0,,,19,2,,0
219033,Huile d'autruche camphrée,Huile_dautruche_camphree,167004,"huile d'autruche, huile de lin biologique, camphre","huile d'autruche, huile de  [...]","Peau sèche, sensible et rugueuse 
Eczéma 
Psoriasis 
Acné 
Brûlures, Coup de Soleil 
Coupures, éraflures 
Piqûres d’insectes 
Douleur musculaire 
Les douleurs de l’arthrite (lubrifie le cartilage) 

L’huile d’autruche LYSTANIA contient de l’huile d’autruche PURE À 100% et de l’huile de lin PURE À 100%. Ensemble elles renforcent davantage l’action pénétrante et énergisante dans la peau.
","Peau sèche, sensible et rugueuse 
Eczéma 
Psoriasis 
Acné 
Brûlures,  [...]",101152,104011,tablette,"2012-03-03 20:26:18",0,1,1,0,0,312025,0,0,0,0,0,0,0,3,7,0,,,20,3,,0
219037,Savon (huile d'autruche et lait de chèvre) aromatisé,Savon_huile_dautruche_et_lait_de_chevre_aromatise,167004," huile d’autruche, huile de canola, lait de chèvre, huile d’olive, eau distillée, hydroxyde de sodium, arome. "," huile d’autruche, huile  [...]","+/- 100g la barre de savon.

Ensemble, l’huile d’autruche et le lait de chèvre agiront comme émollients, lubrifiants et adoucissants pour la peau très efficacement.","+/- 100g la barre de savon.

Ensemble, l’huile d’autruche et le lait  [...]",101152,101149,tablette,"2012-03-03 20:57:57",0,1,1,0,0,181013,0,0,0,0,0,0,0,3,7,0,,,21,2,,0
219054,Pain d'épeautre et graines de lin biologique (sac papier),Pain_depeautre_et_graines_de_lin_biologique_sac_papier,169011,"farine d'épeautre biologique, eau, levain biologique (eau, farine de seigle intégral), graines de lin biologiques, graines de sésames biologique, sel de mer. ","farine d'épeautre biologique, [...]",Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:23:23",1,0,0,0,1,183020,0,0,0,0,0,0,0,2,23,0,,,13,2,,0
219055,"Pain d'épeautre et graines de lin bio (tranché, sac plast.)",Pain_depeautre_et_graines_de_lin_bio_tranche_sac_plast,169011,"farine d'épeautre biologique, eau, levain biologique (eau, farine de seigle intégral), graines de lin biologiques, graines de sésames biologique, sel de mer.","farine d'épeautre biologique, [...]",Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:23:22",1,0,0,0,1,183020,0,0,0,0,0,0,0,2,23,0,,,14,2,,0
219059,"Pain aux noix de Grenoble à 80% bio (tranché, sac plast.) ",Pain_aux_noix_de_Grenoble_a_80_bio_tranche_sac_plast,169011,"farine de blé tamisée bio, eau, levain de seigle bio, noix de grenoble, sel de mer","farine de blé tamisée bio, [...]",Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:22:49",1,0,0,0,1,186009,0,0,0,0,0,0,0,2,23,0,,,15,2,,0
220013,Jus d'Argousier sans sucre (sac glaçon),Jus_dArgousier_sans_sucre_sac_glacon,189007,un jus à base d'argousier et d'eau.,un jus à base d'argousier  [...],Format de sac à 28 glaçons. L'Argousier contient 30 fois plus de vitamine C que l'orange. N`oubliez pas votre glacière!,Format de sac à 28 glaçons. L'Argousier contient 30 fois plus de vitamine  [...],103026,96173,congelo,"2018-10-19 22:16:29",0,0,0,0,0,408026,1,0,0,0,0,0,0,2,9,0,,,9,2,"2020-06-30 12:51:16",0
220014,Médaillon d'autruche (filet mignon),Medaillon_dautruche_filet_mignon,167004,autruche,,"La viande d’autruche est une viande rouge à saveur douce. De plus, elle est extrêmement maigre, ne contenant que 2 à 3% de gras. Elle contient beaucoup de protéines, de fer, de phosphore, etc. et très peu de cholestérol. Pour obtenir le maximum de tendreté et avoir un goût à sa pleine mesure, elle ne doit pas être trop cuite.","La viande d’autruche est une viande rouge à saveur douce. De plus, elle  [...]",101153,219025,congelo,"2016-03-12 12:42:34",0,1,1,1,1,187019,0,0,0,0,0,0,0,3,7,0,,,22,3,,0
